"Criteria ID","Name","Canonical Name","Parent ID","Country Code","Target Type","Status"
1007821,"Haldwani","Haldwani,Uttarakhand,India",21341,"IN","City","Active"
1007823,"Kanpur","Kanpur,Uttar Pradesh,India",20471,"IN","City","Active"
1007824,"Lucknow","Lucknow,Uttar Pradesh,India",20471,"IN","City","Active"
1007825,"Mathura","Mathura,Uttar Pradesh,India",20471,"IN","City","Active"
1007826,"Noida","Noida,Uttar Pradesh,India",20471,"IN","City","Active"
1007827,"Varanasi","Varanasi,Uttar Pradesh,India",20471,"IN","City","Active"
1007828,"Kolkata","Kolkata,West Bengal,India",20472,"IN","City","Active"
9040165,"Tezpur","Tezpur,Assam,India",20454,"IN","City","Active"
9040166,"Imphal","Imphal,Manipur,India",21337,"IN","City","Active"
9040167,"Shimla","Shimla,Himachal Pradesh,India",21335,"IN","City","Active"
9040168,"Moradabad","Moradabad,Uttar Pradesh,India",20471,"IN","City","Active"
9040169,"Meerut","Meerut,Uttar Pradesh,India",20471,"IN","City","Active"
9040170,"Sonepat","Sonepat,Haryana,India",20458,"IN","City","Active"
9040171,"Karnal","Karnal,Haryana,India",20458,"IN","City","Active"
9040172,"Roorkee","Roorkee,Uttarakhand,India",21341,"IN","City","Active"
9040173,"Patiala","Patiala,Punjab,India",20466,"IN","City","Active"
9040174,"Pilani","Pilani,Rajasthan,India",20468,"IN","City","Active"
9040175,"Jalandhar","Jalandhar,Punjab,India",20466,"IN","City","Active"
9040176,"Kangra","Kangra,Himachal Pradesh,India",21335,"IN","City","Active"
9040177,"Jammu","Jammu,Jammu and Kashmir,India",20459,"IN","City","Active"
9040178,"Jodhpur","Jodhpur,Rajasthan,India",20468,"IN","City","Active"
9040179,"Nadiad","Nadiad,Gujarat,India",20457,"IN","City","Active"
9040180,"Bhavnagar","Bhavnagar,Gujarat,India",20457,"IN","City","Active"
9040181,"Ajmer","Ajmer,Rajasthan,India",20468,"IN","City","Active"
9040182,"Alwar","Alwar,Rajasthan,India",20468,"IN","City","Active"
9040183,"Agra","Agra,Uttar Pradesh,India",20471,"IN","City","Active"
9040184,"Aligarh","Aligarh,Uttar Pradesh,India",20471,"IN","City","Active"
9040185,"Jhansi","Jhansi,Uttar Pradesh,India",20471,"IN","City","Active"
9040186,"Sagar","Sagar,Madhya Pradesh,India",20464,"IN","City","Active"
9040187,"Satna","Satna,Madhya Pradesh,India",20464,"IN","City","Active"
9040188,"Gorakhpur","Gorakhpur,Uttar Pradesh,India",20471,"IN","City","Active"
9040189,"Bareilly","Bareilly,Uttar Pradesh,India",20471,"IN","City","Active"
9040190,"Siliguri","Siliguri,West Bengal,India",20472,"IN","City","Active"
9040191,"Bokaro Steel City","Bokaro Steel City,Jharkhand,India",21336,"IN","City","Active"
9040192,"Ranchi","Ranchi,Jharkhand,India",21336,"IN","City","Active"
9040193,"Durgapur","Durgapur,West Bengal,India",20472,"IN","City","Active"
9040194,"Barddhaman","Barddhaman,West Bengal,India",20472,"IN","City","Active"
9040195,"Cuttack","Cuttack,Odisha,India",20465,"IN","City","Active"
9040196,"Rourkela","Rourkela,Odisha,India",20465,"IN","City","Active"
9040197,"Sambalpur","Sambalpur,Odisha,India",20465,"IN","City","Active"
9040198,"Raipur","Raipur,Chhattisgarh,India",21334,"IN","City","Active"
9040199,"Bhilai","Bhilai,Chhattisgarh,India",21334,"IN","City","Active"
